iter	RMSE
0	0.7644457043
1	0.757778893
2	0.7507052495
3	0.7453599842
4	0.7392036638
5	0.7349672296
6	0.7294360409
7	0.7250847758
8	0.7204477434
9	0.7168649079
10	0.7125911389
11	0.7091030788
12	0.7049555759
13	0.7020452229
14	0.6987386063
15	0.6957899852
16	0.6929137469
17	0.6911888222
18	0.6886544447
19	0.6861984746
20	0.6837438509
21	0.6815461397
22	0.6790558956
23	0.6769134706
24	0.6750312206
25	0.6733843297
26	0.6713924131
27	0.6690969688
28	0.6666128228
29	0.6653081785
30	0.6636459993
31	0.6622210082
32	0.6608836623
33	0.6591905026
34	0.6580486231
35	0.6567319056
36	0.6555726456
37	0.6539245131
38	0.6526571797
39	0.6512923368
40	0.6501035936
41	0.6490635951
42	0.6480057455
43	0.6474264505
44	0.646128886
45	0.6452841245
46	0.6439072354
47	0.6429989379
48	0.6421335761
49	0.6411443665
50	0.6397346997
51	0.6392953954
52	0.6378794859
53	0.6371768782
54	0.6364616695
55	0.6355257489
56	0.6350447693
57	0.6340973921
58	0.6328036927
59	0.6318739014
60	0.6314814028
61	0.6302283689
62	0.6292968719
63	0.6287444925
64	0.6282545468
65	0.6276623446
66	0.6272736851
67	0.6268733596
68	0.6258228631
69	0.6253018206
70	0.6243408697
71	0.6236548094
72	0.6230978641
73	0.6224919366
74	0.6220979922
75	0.6217710573
76	0.6211188331
77	0.6202513332
78	0.6192973098
79	0.6183117968
80	0.6174052076
81	0.6169951963
82	0.6162761491
83	0.6156626782
84	0.6152508624
85	0.6148009522
86	0.6144094628
87	0.6141102548
88	0.6136621272
89	0.6132592999
90	0.6126277181
91	0.6122457966
92	0.6116656667
93	0.6111663354
94	0.6105179836
95	0.6100930055
96	0.609434684
97	0.6089039921
98	0.6084243797
99	0.6078621419
100	0.6070488795
101	0.60636562
102	0.6060455864
103	0.6057564903
104	0.6051649216
105	0.6044244632
106	0.6042508415
107	0.603559297
108	0.6028658216
109	0.6025872129
110	0.6019584426
111	0.6014797715
112	0.6010947548
113	0.6007800729
114	0.6001850913
115	0.5995982386
116	0.5990555303
117	0.5986567556
118	0.5983625386
119	0.5980083028
120	0.5972326983
121	0.5969327223
122	0.596481419
123	0.5960331018
124	0.5956400062
125	0.5948666176
126	0.5944970347
127	0.5940327259
128	0.5930722464
129	0.5929022897
130	0.592507388
131	0.5918405945
132	0.5912368685
133	0.5909370865
134	0.5901527697
135	0.5894405649
136	0.5892190291
137	0.5888315824
138	0.588355199
139	0.5875918439
140	0.5873117537
141	0.5865005595
142	0.5859969478
143	0.5851607942
144	0.5846694577
145	0.5840237938
146	0.5833594415
147	0.5831082457
148	0.5827869721
149	0.5823296286
150	0.5818863184
151	0.5814590108
152	0.580912548
153	0.580526283
154	0.5800600843
155	0.5794625147
156	0.5790153767
157	0.5786547459
158	0.5783829822
159	0.5778110855
160	0.57723174
161	0.5768651381
162	0.5757962367
163	0.5754581923
164	0.5748277003
165	0.5744939539
166	0.5738411306
167	0.5736697697
168	0.5733841105
169	0.5727235202
170	0.5721520571
171	0.5716453644
172	0.5714963905
173	0.5710065928
174	0.5706447271
175	0.5702283002
176	0.5695656395
177	0.5691350509
178	0.5687405361
179	0.5684180001
180	0.5682279253
181	0.5677465386
182	0.5670814594
183	0.5665097486
184	0.5659373895
185	0.5653749204
186	0.5647182449
187	0.5639341761
188	0.5635429552
189	0.5629323793
190	0.5626150023
191	0.5621067196
192	0.5618526692
193	0.5615809331
194	0.5613062718
195	0.5611778431
196	0.5606297616
197	0.5599836276
198	0.5592676562
199	0.5591205036
200	0.558698012
201	0.5582890417
202	0.5574484366
203	0.557059533
204	0.5564535621
205	0.5556319907
206	0.5549528905
207	0.5545525308
208	0.5538608431
209	0.5537146596
210	0.5533022717
211	0.5524935709
212	0.5522624281
213	0.5521247947
214	0.5516702233
215	0.5512048464
216	0.5505648044
217	0.5497339307
218	0.5493420648
219	0.5488434183
220	0.5480003004
221	0.5473980645
222	0.5469592879
223	0.5466296954
224	0.5463761729
225	0.5457845833
226	0.5449433653
227	0.5444429084
228	0.5440557423
229	0.5439050053
230	0.5430482878
231	0.5425510032
232	0.5422851566
233	0.5415274913
234	0.541022075
235	0.5400258641
236	0.5394940997
237	0.5389137693
238	0.5388046427
239	0.5382853474
240	0.5381864394
241	0.5377271074
242	0.5376323194
243	0.5371045225
244	0.5369283237
245	0.5364311675
246	0.5358027829
247	0.5353288663
248	0.534526935
249	0.5338290407
250	0.5334121089
251	0.5324964718
252	0.5321081012
253	0.5320009602
254	0.5313469862
255	0.5305867947
256	0.5304985047
257	0.5295966717
258	0.5291377554
259	0.5286286079
260	0.5281761923
261	0.52745302
262	0.526914071
263	0.5263872429
264	0.5257453231
265	0.5248408298
266	0.5244234255
267	0.5236423714
268	0.5233278657
269	0.5224769874
270	0.5218353041
271	0.5210420863
272	0.5204130721
273	0.5196861687
274	0.5195209852
275	0.5190409764
276	0.518548609
277	0.5181869493
278	0.5177346152
279	0.5176866667
280	0.5172711351
281	0.5169381189
282	0.5164116886
283	0.5159086349
284	0.5153633603
285	0.5149188978
286	0.5148720467
287	0.514077371
288	0.5139734293
289	0.5133079533
290	0.5132428809
291	0.5129150126
292	0.512260993
293	0.5118264733
294	0.5113367578
295	0.5107714014
296	0.5103692332
297	0.5103189741
298	0.509894335
299	0.5093714018
300	0.5086450234
301	0.5083680279
302	0.5083228287
303	0.5079694506
304	0.5073646201
305	0.5068203292
306	0.5064386329
307	0.5063933767
308	0.5058705518
309	0.5053101679
310	0.5049733302
311	0.5045815497
312	0.5041347457
313	0.503712805
314	0.5031450534
315	0.5025784263
316	0.5021696307
317	0.501942477
318	0.5013435062
319	0.501302945
320	0.5007173568
321	0.5003208271
322	0.4994616313
323	0.4987582989
324	0.4982741203
325	0.4981633752
326	0.4975702002
327	0.4968665728
328	0.4964324665
329	0.4960845503
330	0.4958212646
331	0.4954113216
332	0.4949363608
333	0.4945927971
334	0.4940760309
335	0.4937358622
336	0.4931546989
337	0.4928692928
338	0.4925565664
339	0.4922003082
340	0.4919455796
341	0.4914755139
342	0.4910499903
343	0.4906005036
344	0.4901941985
345	0.4899397801
346	0.4898597868
347	0.4895372974
348	0.489471646
349	0.488922328
350	0.488877266
351	0.4884530345
352	0.4880413247
353	0.4876280433
354	0.4873799195
355	0.487209572
356	0.4866782734
357	0.4864365217
358	0.486089732
359	0.4856480778
360	0.4853079637
361	0.4848802916
362	0.4846438102
363	0.4840432106
364	0.4837279407
365	0.4830472837
366	0.4827447208
367	0.4823034337
368	0.4817859409
369	0.4815225962
370	0.4810651132
371	0.4806266499
372	0.4800870397
373	0.4796451697
374	0.4795750155
375	0.4790683033
376	0.4788934485
377	0.4787886594
378	0.4786252042
379	0.4784267922
380	0.4781187813
381	0.4775815714
382	0.4772725401
383	0.4767197822
384	0.4762568464
385	0.4759100844
386	0.4754945455
387	0.4754610829
388	0.4751813338
389	0.4746842239
390	0.4746422547
391	0.4742862071
392	0.4737645636
393	0.4732789767
394	0.4728658028
395	0.4724810087
396	0.4719315416
397	0.4715021521
398	0.4711481927
399	0.4707634953
400	0.4704815066
401	0.4700764343
402	0.469633172
403	0.4689995497
404	0.4689345985
405	0.4684395213
406	0.4679858946
407	0.467269196
408	0.4669299331
409	0.466639276
410	0.4663246311
411	0.4657870535
412	0.4654727429
413	0.4650853246
414	0.4645162341
415	0.4639335918
416	0.4636032241
417	0.4633686385
418	0.4629075355
419	0.4625875526
420	0.4623262783
421	0.4617377331
422	0.4614671269
423	0.4610811917
424	0.460763046
425	0.4604464381
426	0.4598466352
427	0.4593601867
428	0.4588690344
429	0.4581983015
430	0.4577479138
431	0.457277305
432	0.4569143207
433	0.4566221733
434	0.4562123911
435	0.4560827246
436	0.4560519045
437	0.4554793377
438	0.4552748574
439	0.454912278
440	0.4546937318
441	0.4542180613
442	0.4538666658
443	0.4535956852
444	0.4531953412
445	0.4529142677
446	0.4522541256
447	0.4517796362
448	0.451598926
449	0.4510454482
450	0.4508110035
451	0.4505395821
452	0.4502339107
453	0.4498618154
454	0.4494888289
455	0.4489971582
456	0.4484825532
457	0.4484057599
458	0.4481597159
459	0.4478444045
460	0.4474841114
461	0.4471545605
462	0.4468092871
463	0.4463964588
464	0.4460767259
465	0.4457136807
466	0.4454068933
467	0.4450865561
468	0.4449088957
469	0.4443869455
470	0.4443042001
471	0.4440405734
472	0.4437962269
473	0.4433709708
474	0.4433158289
475	0.443111651
476	0.4427301166
477	0.4423679192
478	0.441933444
479	0.4417192597
480	0.441414471
481	0.4410309769
482	0.4408497907
483	0.440787747
484	0.4406498128
485	0.4402921481
486	0.4398498689
487	0.4393715541
488	0.4390502289
489	0.4384804195
490	0.4383129315
491	0.4379872441
492	0.4376481336
493	0.4372437792
494	0.4367963952
495	0.4364738274
496	0.436014862
497	0.4353931695
498	0.4353182898
499	0.4351033706
500	0.4347181889
501	0.4341837825
502	0.4338743914
503	0.4335371561
504	0.4328186691
505	0.43247828
506	0.4320462356
507	0.431610286
508	0.4313674221
509	0.4310534982
510	0.4308375592
511	0.4306193186
512	0.4301981802
513	0.4300206682
514	0.4295701667
515	0.4292736318
516	0.4289253898
517	0.4286939895
518	0.4282828564
519	0.4279381625
520	0.4275574691
521	0.4271195279
522	0.4269834683
523	0.4266920486
524	0.4263471335
525	0.4258914795
526	0.4258691726
527	0.425848398
528	0.4254305712
529	0.4251541092
530	0.4248472144
531	0.424822417
532	0.4246226801
533	0.4243408966
534	0.4239678319
535	0.4238554957
536	0.4233526067
537	0.4232318784
538	0.4229067282
539	0.4225256539
540	0.4221750837
541	0.4218196196
542	0.4215944964
543	0.4212372485
544	0.4208501244
545	0.4206979774
546	0.4201936251
547	0.4199453323
548	0.4195141203
549	0.4193358679
550	0.4190868516
551	0.4186416749
552	0.4183286339
553	0.4179958595
554	0.4175906023
555	0.4171793924
556	0.4168488125
557	0.4163434531
558	0.4159514483
559	0.4156707156
560	0.4153181982
561	0.4152965559
562	0.4151585417
563	0.4149249281
564	0.4146654561
565	0.4143120895
566	0.4138545213
567	0.4136159508
568	0.4133412449
569	0.4129444793
570	0.4128415363
571	0.4125306978
572	0.4121121178
573	0.4118338873
574	0.4114150131
575	0.4112515142
