iter	Passed	Remaining
0	55	11013
1	59	5938
2	64	4257
3	68	3377
4	73	2867
5	78	2526
6	83	2293
7	87	2097
8	91	1950
9	96	1828
10	100	1729
11	105	1649
12	109	1579
13	114	1515
14	118	1463
15	123	1422
16	128	1382
17	133	1345
18	138	1316
19	142	1286
20	147	1258
21	152	1235
22	158	1219
23	163	1199
24	168	1181
25	174	1167
26	179	1147
27	184	1135
28	190	1124
29	195	1110
30	201	1097
31	206	1085
32	211	1072
33	217	1062
34	223	1054
35	228	1042
36	234	1031
37	239	1022
38	245	1012
39	250	1003
40	256	995
41	262	987
42	267	978
43	274	972
44	279	964
45	285	955
46	291	948
47	296	940
48	303	933
49	308	925
50	313	916
51	320	910
52	326	904
53	331	897
54	337	890
55	345	887
56	352	884
57	360	882
58	367	878
59	374	874
60	381	869
61	388	865
62	395	859
63	402	855
64	409	850
65	416	845
66	423	839
67	430	834
68	437	829
69	443	824
70	451	819
71	457	814
72	464	808
73	471	803
74	479	798
75	486	793
76	493	787
77	500	782
78	508	779
79	516	775
80	525	772
81	533	767
82	541	763
83	549	758
84	557	753
85	564	748
86	573	744
87	582	741
88	590	736
89	599	733
90	607	727
91	615	722
92	624	718
93	633	714
94	642	709
95	650	704
96	657	698
97	666	693
98	674	687
99	682	682
100	689	676
101	698	671
102	707	666
103	715	660
104	723	654
105	732	649
106	739	642
107	747	636
108	754	630
109	762	624
110	771	618
111	780	612
112	787	606
113	795	600
114	804	594
115	812	588
116	822	583
117	849	590
118	909	619
119	923	615
120	953	622
121	970	620
122	1011	633
123	1044	640
124	1051	630
125	1057	621
126	1065	612
127	1072	603
128	1080	594
129	1087	585
130	1094	576
131	1100	566
132	1107	557
133	1114	549
134	1122	540
135	1129	531
136	1136	522
137	1143	513
138	1150	504
139	1157	496
140	1165	487
141	1172	479
142	1181	470
143	1188	462
144	1197	454
145	1206	446
146	1217	439
147	1225	430
148	1237	423
149	1248	416
150	1281	415
151	1292	408
152	1302	400
153	1315	392
154	1328	385
155	1341	378
156	1354	371
157	1374	365
158	1394	359
159	1433	358
160	1472	356
161	1521	356
162	1611	365
163	1641	360
164	1712	363
165	1728	353
166	1786	353
167	1848	352
168	1941	356
169	1958	345
170	2001	339
171	2018	328
172	2038	318
173	2099	313
174	2156	308
175	2184	297
176	2195	285
177	2208	272
178	2236	262
179	2254	250
180	2297	241
181	2326	230
182	2351	218
183	2390	207
184	2423	196
185	2439	183
186	2453	170
187	2515	160
188	2535	147
189	2579	135
190	2592	122
191	2628	109
192	2638	95
193	2655	82
194	2682	68
195	2699	55
196	2712	41
197	2722	27
198	2733	13
199	2752	0
