iter	RMSE
0	0.7656817094
1	0.7602610997
2	0.7533054448
3	0.7476080163
4	0.7422829971
5	0.7378648704
6	0.7334798987
7	0.7299514531
8	0.7254859675
9	0.7207980365
10	0.7170101039
11	0.7132119012
12	0.7098368907
13	0.7069143968
14	0.7038426505
15	0.7011313678
16	0.6981437729
17	0.69578673
18	0.6931767298
19	0.6906034257
20	0.6883109943
21	0.6857839607
22	0.6840901771
23	0.6819889441
24	0.6801555314
25	0.6784166675
26	0.6770002491
27	0.6748831418
28	0.6730536171
29	0.6711109741
30	0.6693737227
31	0.6678088683
32	0.6666586558
33	0.6651529847
34	0.6639007042
35	0.6621626343
36	0.6608270372
37	0.6593213325
38	0.6578705024
39	0.6570923571
40	0.6552796043
41	0.6542481697
42	0.6534025686
43	0.6525028899
44	0.6513217828
45	0.6499226652
46	0.6484491688
47	0.6473159611
48	0.6460796955
49	0.6452854178
50	0.6440190515
51	0.6430100374
52	0.6419702454
53	0.6411719816
54	0.6402202442
55	0.6392666694
56	0.638440485
57	0.6376344183
58	0.6366985772
59	0.6358971032
60	0.635070597
61	0.6341341291
62	0.6334762098
63	0.6324515613
64	0.6317109312
65	0.6309611333
66	0.6297559152
67	0.6289844345
68	0.6281417732
69	0.6277110155
70	0.6268355101
71	0.6259558876
72	0.6252513317
73	0.6243480295
74	0.6236919315
75	0.6232251332
76	0.6227097929
77	0.6222241059
78	0.621657317
79	0.6207172051
80	0.6199700724
81	0.6195191037
82	0.6185012544
83	0.618250664
84	0.6175283777
85	0.6167758052
86	0.6162092138
87	0.615429421
88	0.6149995308
89	0.6141096179
90	0.6136437724
91	0.6129895678
92	0.6123091138
93	0.611890544
94	0.611462555
95	0.6108830089
96	0.6103838241
97	0.6098406025
98	0.6093315397
99	0.6086812119
100	0.6080519039
101	0.6073952749
102	0.6068079362
103	0.6064307429
104	0.6060213202
105	0.605783776
106	0.605273681
107	0.6050204021
108	0.6048259123
109	0.6045063716
110	0.6040093617
111	0.6033004971
112	0.6028759224
113	0.6022816083
114	0.6019370415
115	0.6016963263
116	0.601178646
117	0.6004644145
118	0.600185316
119	0.5995351584
120	0.5992415023
121	0.5989956873
122	0.5985812727
123	0.5981860403
124	0.5979974572
125	0.5974302288
126	0.5970039245
127	0.5964935738
128	0.596167753
129	0.595643562
130	0.5951042525
131	0.5946276559
132	0.5944102609
133	0.5938497402
134	0.5930977926
135	0.5925810947
136	0.5921521151
137	0.5920284549
138	0.5916233986
139	0.5914782642
140	0.5908888757
141	0.5903806377
142	0.5901023764
143	0.5897207413
144	0.5894057543
145	0.5889185205
146	0.5885602366
147	0.5880755973
148	0.5877064477
149	0.5873083632
150	0.5867748179
151	0.5861741081
152	0.5855379772
153	0.5851186225
154	0.5844368579
155	0.5842215977
156	0.5837884772
157	0.5832981151
158	0.5827041875
159	0.581980733
160	0.5817838227
161	0.5812083642
162	0.5808368523
163	0.5804508711
164	0.5802862858
165	0.5795265228
166	0.5793966809
167	0.5790735691
168	0.5789259824
169	0.5786835692
170	0.5785013406
171	0.578116571
172	0.5778709038
173	0.5772707441
174	0.5769099013
175	0.5763400451
176	0.5761296178
177	0.5758470982
178	0.5751037484
179	0.5745889697
180	0.5743774226
181	0.5736868133
182	0.5734969173
183	0.5726182633
184	0.5724192159
185	0.5715788468
186	0.5713981456
187	0.5705450756
188	0.5694482923
189	0.569168361
190	0.568687003
191	0.5685374978
192	0.5680952554
193	0.5674503864
194	0.5665555875
195	0.5656317421
196	0.5645764779
197	0.5642593162
198	0.5632710977
199	0.5626854811
