iter	Passed	Remaining
0	5	1002
1	8	862
2	11	781
3	15	778
4	19	768
5	24	777
6	27	770
7	31	745
8	34	725
9	37	714
10	41	709
11	44	700
12	47	686
13	50	674
14	54	676
15	58	671
16	62	667
17	65	658
18	68	648
19	72	649
20	75	646
21	79	641
22	82	637
23	88	645
24	91	643
25	96	645
26	99	637
27	102	631
28	106	630
29	109	622
30	113	616
31	116	611
32	119	606
33	123	602
34	127	598
35	130	593
36	133	588
37	137	585
38	140	579
39	146	584
40	149	581
41	153	579
42	157	574
43	160	569
44	164	566
45	167	561
46	171	557
47	174	552
48	178	548
49	181	544
50	186	543
51	189	540
52	193	535
53	196	530
54	199	526
55	203	522
56	206	517
57	209	513
58	212	508
59	216	504
60	219	501
61	223	497
62	227	493
63	230	489
64	233	484
65	236	480
66	239	476
67	243	472
68	246	467
69	249	463
70	253	459
71	256	456
72	259	452
73	263	448
74	266	444
75	270	440
76	273	437
77	277	433
78	280	430
79	284	427
80	288	423
81	291	419
82	295	416
83	298	412
84	302	409
85	305	405
86	309	402
87	313	398
88	317	395
89	320	392
90	324	388
91	328	385
92	331	381
93	334	377
94	338	373
95	341	369
96	344	365
97	347	362
98	351	358
99	355	355
100	358	351
101	361	347
102	364	343
103	368	340
104	372	336
105	375	333
106	379	329
107	383	326
108	387	323
109	390	319
110	394	316
111	397	312
112	402	309
113	405	305
114	408	302
115	412	298
116	416	295
117	420	292
118	424	288
119	427	285
120	430	281
121	434	277
122	438	274
123	441	270
124	445	267
125	450	264
126	454	261
127	458	257
128	461	254
129	465	250
130	469	247
131	472	243
132	476	239
133	479	236
134	483	232
135	487	229
136	491	225
137	494	222
138	498	218
139	502	215
140	505	211
141	509	208
142	513	204
143	517	201
144	521	197
145	525	194
146	529	190
147	533	187
148	537	183
149	541	180
150	545	176
151	549	173
152	553	170
153	557	166
154	560	162
155	563	159
156	567	155
157	571	151
158	575	148
159	580	145
160	584	141
161	587	137
162	590	134
163	594	130
164	597	126
165	601	123
166	604	119
167	607	115
168	611	112
169	614	108
170	618	104
171	621	101
172	625	97
173	630	94
174	634	90
175	637	86
176	640	83
177	644	79
178	648	76
179	651	72
180	655	68
181	658	65
182	662	61
183	665	57
184	669	54
185	672	50
186	676	47
187	680	43
188	683	39
189	687	36
190	690	32
191	693	28
192	696	25
193	700	21
194	703	18
195	707	14
196	711	10
197	714	7
198	717	3
199	720	0
